punType,sentenceID,sentenceType,sum_m1_ngram,sum_m2_ngram,sum_m1_relatedness,sum_m2_relatedness,p_m1_given_w,p_m2_given_w,entropy,m1KL,m2KL,KL,m1Focus,m2Focus
identical,1,pun,-55.5725580109,-45.9323027025,12.517565072,1.8158224,0.307048425142,0.692951574858,0.616718652414,1.11992010856,6.2085203052,7.32844041376,prophet;atheism;organization,non;organization
identical,2,pun,-48.1642020516,-44.5054206287,13.381782822,1.181660829,0.999845946446,0.000154053553758,0.00150635617376,0.72575451536,5.83971914006,6.56547365542,pi;circumference,circumference;large
identical,3,pun,-80.7211367315,-70.5440892878,15.29803952,0.055563493,0.105953912898,0.894046087102,0.3379714908,1.87374398462,7.15031408231,9.02405806693,knead;bakers;bread;recipes,basis;trade
identical,4,pun,-66.9611258978,-54.8936247977,12.101453782,3.232276015,1.43197082663e-05,0.999985680292,0.000174039824152,2.80167425425,7.89035567887,10.6920299331,oar;rower,choose;either;indecisive;not
identical,5,pun,-48.8691416779,-43.9778085583,13.905232365,1.4039662,0.994870516506,0.00512948349404,0.0321627908161,1.41715363446,6.46951825846,7.88667189292,tiers;cake;wedding,emotional;wedding
identical,6,pun,-53.669367562,-45.6542754018,14.874043941,0.015508465,0.999574701914,0.000425298085579,0.00372667769774,1.14899138862,6.25845110186,7.40744249048,poll;conduct;decided;flag,flag
identical,7,pun,-37.0015478584,-33.1612244761,12.766698952,4.363772738,0.697955439817,0.302044560183,0.612586713466,1.63041802915,6.57108142511,8.20149945426,bored;meetings,chairman;executive;meetings
identical,8,pun,-31.7233363621,-36.884156223,11.360502071,-0.593560628,0.999999994568,5.4316953655e-09,1.08802368723e-07,0.85857809297,5.96981655909,6.82839465206,greece,donuts
identical,9,pun,-65.4671181338,-63.0512938639,12.075129018,0.632681794,0.980317033387,0.0196829666134,0.0968026988977,0.961862675231,6.08846118186,7.05032385709,sine;trigonometry,prayed;trigonometry
identical,10,pun,-65.3733650373,-60.9916558549,14.418469023,1.185820168,0.999914983163,8.50168374885e-05,0.000881847240334,0.828735530045,5.95107737203,6.77981290207,principal;just;school,disliked;just;school
identical,11,pun,-48.4234883894,-47.0460509556,14.498376887,-0.967145481,0.99999999885,1.14986457307e-09,2.48182418733e-08,1.3138023077,6.53710078364,7.85090309134,cd;music;stores,
identical,12,pun,-63.1943232485,-50.7792502833,11.482227369,-0.990477457,0.0337432640382,0.966256735962,0.147522506653,1.35822173387,6.50859510628,7.86681684015,hare;magician,pulled
identical,13,pun,-83.6915822363,-76.6260536817,10.095780725,-1.864429307,0.797928237847,0.202071762153,0.503261117151,1.01227897793,6.12793471878,7.14021369671,knotty;sapling,admonished;young
identical,14,pun,-55.0026610144,-44.9614271094,12.816605134,1.974704526,0.0484162046864,0.951583795314,0.193825182002,1.505260947,6.52409672322,8.02935767022,taut;rope,learn;tricks
identical,15,pun,-64.3722324599,-62.5100921939,12.707015052,-0.725651508,0.999939644821,6.03551791947e-05,0.000646719845044,1.19386110889,6.3546742769,7.54853538579,marx;class;communism,class
identical,16,pun,-62.6540933699,-55.5556391878,11.409861159,-0.237327616,0.948683044524,0.051316955476,0.202374831715,0.853368189552,5.96240903437,6.81577722392,hi;people,waves
identical,17,pun,-68.4160268927,-65.6569639341,9.345791123,1.908966062,0.204176147949,0.795823852051,0.506137574554,1.4683530195,6.50985399184,7.97820701134,daze,school;time;tough
identical,18,pun,-39.7539895766,-34.8302237153,12.632094459,0.92885634,0.996934995399,0.00306500460134,0.0207996488282,1.32231596721,6.36571398326,7.68802995047,prose;authors,authors;cons
identical,19,pun,-60.1693439375,-47.4677716662,13.487317621,-1.142290669,0.837468212288,0.162531787712,0.44384441532,1.26880786862,6.50280527227,7.77161314089,plane;flying;food,fancy;food
identical,20,pun,-81.9501094351,-77.8135305035,10.314419694,-3.854750176,0.999947442107,5.25578933067e-05,0.000570440720809,0.969818330945,6.13951789621,7.10933622715,dam;beaver,beaver
identical,21,pun,-30.0531808142,-24.50852725,13.815201833,-0.971846936,0.999836620973,0.000163379027167,0.00158793893491,0.989656542295,6.12675300593,7.11640954823,hertz;computer,
identical,22,pun,-33.0534133602,-32.6045298702,15.851312495,-0.226089049,0.999999932317,6.76830058039e-08,1.18502321518e-06,1.1310119323,6.32737266142,7.45838459372,role;actors;movie,movie
